title	release_na	release_eu	publisher	developer			
10-Yard Fight	1985-10-18	1985-12-06	Nintendo				
1942	1986-11-01	Unreleased	Capcom				
1943: The Battle of Midway	1988-10-01	Unreleased	Capcom				
The 3-D Battles of WorldRunner	1987-09-01	Unreleased	Acclaim Entertainment				
720°	1989-11-01	Unreleased	Mindscape				
8 Eyes	1990-01-01	Unreleased	Taxan				
Abadox	1990-03-01	1988-04-06	Milton Bradley Company				
The Addams Family	1992-01-01	1992-01-01	Ocean Software				
The Addams Family: Pugsley's Scavenger Hunt	1993-08-01	1992-01-01	Ocean Software				
Advanced Dungeons & Dragons: DragonStrike	1992-07-01	Unreleased	FCI				
Advanced Dungeons & Dragons: Heroes of the Lance	1991-01-01	Unreleased	FCI				
Advanced Dungeons & Dragons: Hillsfar	1993-02-01	Unreleased	FCI				
Advanced Dungeons & Dragons: Pool of Radiance	1992-04-01	Unreleased	FCI				
Adventure Island	1988-09-01	1992-01-01	Hudson Soft				
Adventure Island II	1991-02-01	1992-07-22	Hudson Soft (NA/EU)|Mattel (AU)				
Adventure Island 3	1992-09-01	Unreleased	Hudson Soft				
Adventures in the Magic Kingdom	1990-06-01	1992-12-10	Capcom				
The Adventures of Bayou Billy	1989-06-01	1991-01-24	Konami				
Adventures of Dino Riki	1989-09-01	Unreleased	Hudson Soft				
The Adventures of Gilligan's Island	1990-07-01	Unreleased	Bandai				
Adventures of Lolo	1989-04-01	Unreleased	HAL America				
Adventures of Lolo 2	1990-03-01	1991-02-21	HAL America				
Adventures of Lolo 3	1991-09-01	1992-05-27	HAL America				
The Adventures of Rad Gravity	1990-12-01	1991-05-30	Activision (NA)|Mattel (AU)				
The Adventures of Rocky and Bullwinkle and Friends	1992-12-01	Unreleased	THQ				
The Adventures of Tom Sawyer	1989-08-01	Unreleased	SETA				
Air Fortress	1989-09-01	Unreleased	HAL America				
Airwolf	1989-06-01	1988-01-01	Acclaim Entertainment				
Al Unser Jr.'s Turbo Racing	1990-03-01	Unreleased	Data East				
Alfred Chicken	1994-02-01	1993-01-01	Mindscape				
Alien3	1993-03-01	Unreleased	LJN				
All-Pro Basketball	1989-12-01	Unreleased	Vic Tokai				
Alpha Mission	1987-10-01	Unreleased	SNK				
Amagon	1989-04-01	Unreleased	American Sammy				
American Gladiators	1991-10-01	Unreleased	GameTek				
Anticipation	1988-11-01	1989-10-25	Nintendo				
Arch Rivals	1990-11-01	Unreleased	Acclaim Entertainment				
Archon	1989-12-01	Unreleased	Activision				
Arkanoid	1987-08-01	Unreleased	Taito				
Arkista's Ring	1990-06-01	Unreleased	American Sammy				
Asterix	Unreleased	1993-01-01	Infogrames (EU)				
Astyanax	1990-03-01	Unreleased	Jaleco				
Athena	1987-08-01	Unreleased	SNK				
Athletic World	1987-06-18	1988-06-15	Bandai (NA)|Nintendo (EU)				
Attack of the Killer Tomatoes	1992-01-01	Unreleased	THQ				
Aussie Rules Footy	Unreleased	1991-01-01	Laser Beam Entertainment (AU)				
Back to the Future	1989-09-01	Unreleased	LJN				
Back to the Future Part II & III	1990-09-01	Unreleased	LJN				
Bad Dudes Vs. DragonNinja	1990-07-01	Unreleased	Data East (NA)|Ocean Software (EU)				
Bad News Baseball	1990-06-01	Unreleased	Tecmo				
Bad Street Brawler	1989-09-01	Unreleased	Mattel				
Balloon Fight	1986-08-01	1986-12-15	Nintendo				
Banana Prince	Unreleased	1992-02-01	Takara (EU)				
Bandai Golf: Challenge Pebble Beach	1989-02-01	Unreleased	Bandai				
Bandit Kings of Ancient China	1990-12-01	Unreleased	Koei				
Barbie	1991-11-01	Unreleased	Hi Tech Expressions				
The Bard's Tale	1991-11-01	Unreleased	FCI				
Barker Bill's Trick Shooting	1990-08-01	1991-06-27	Nintendo				
Base Wars	1991-06-01	Unreleased	Ultra Games				
Baseball	1985-10-18	1986-09-01	Nintendo				
Baseball Simulator 1.000	1990-03-01	Unreleased	Culture Brain				
Baseball Stars	1989-07-01	Unreleased	SNK				
Baseball Stars 2	1992-07-01	Unreleased	Romstar				
Bases Loaded	1988-07-01	Unreleased	Jaleco				
Bases Loaded II: Second Season	1990-01-01	Unreleased	Jaleco				
Bases Loaded 3	1991-09-01	Unreleased	Jaleco				
Bases Loaded 4	1993-04-01	Unreleased	Jaleco				
Batman	1990-02-01	1990-09-14	Sunsoft				
Batman Returns	1993-01-01	Unreleased	Konami				
Batman: Return of the Joker	1991-12-01	1992-11-19	Sunsoft				
Battle Chess	1990-07-01	Unreleased	Data East				
The Battle of Olympus	1989-12-01	1991-09-26	Brøderbund (NA)|Imagineer (EU)				
