Title(s)	Developer	Publisher	NA	PAL	JP
2do Arukotoha Sand-R	Sega|CRI	CRI|Satakore (re-release)	Unreleased	Unreleased	1996
2Tax Gold	Atelier Double	Human Entertainment	Unreleased	Unreleased	1997
3D Baseball (NA)|3D Baseball: The Majors (JP)	Crystal Dynamics	Crystal Dynamics (NA)|BMG Entertainment (JP)	1996	Unreleased	1997
3D Lemmings	Clockwork Games	Psygnosis (EU)|Imagineer (JP)	Unreleased	1996	1996
3×3 Eyes: Kyuusei Koushu S	Nihon Create	Nihon Create	Unreleased	Unreleased	1996
6 Inch My Darling	KID	KID	Unreleased	Unreleased	1998
Actua Golf	Gremlin Interactive	Interplay Entertainment	1996	1997	1997
Actua Soccer Club Edition	Gremlin Interactive	Gremlin Interactive	Unreleased	1997	Unreleased
Actua Soccer	Gremlin Interactive	Naxat Soft	1996	Unreleased	1996
Advanced V.G.	Giga/TGL	TGL	Unreleased	Unreleased	1997
Advanced World War Sennen Teikoku no Koubou: Last of the Millennium	Sega	Sega|Satakore (re-release)	Unreleased	Unreleased	1997
After Burner II	Sega-AM2	Sega	Unreleased	Unreleased	1996
AI Igo	ISCO	ASCII Something Good	Unreleased	Unreleased	1997
AI Shougi	ASCII Entertainment	SoftBank	Unreleased	Unreleased	1995
AI Shougi 2	ASCII Entertainment	ASCII Something Good	Unreleased	Unreleased	1998
Air Management '96	Koei	Koei	Unreleased	Unreleased	1996
Airs Adventure	Game Studio	Game Studio	Unreleased	Unreleased	1996
Akumajou Dracula X: Gekka no Yasoukyoku	KCE Nagoya	Konami	Unreleased	Unreleased	1998
Albert Odyssey: Legend of Eldean	Sunsoft	Working Designs	1997	Unreleased	1996
Album Club: Mune Kyun Saint Paulia Jogakuin	Societa Daikanyama	Societa Daikanyama	Unreleased	Unreleased	1997
Alien Trilogy	Probe Entertainment	Acclaim Entertainment	1996	1996	1996
All-Star 1997 Featuring Frank Thomas	Iguana Entertainment UK	Acclaim Entertainment	1997	Unreleased	Unreleased
Alone in the Dark: One-Eyed Jack's Revenge	Infogrames	Kokopeli Digital Studios	1996	1996	1996
Amagi Shien	Clip House	Sunsoft	Unreleased	Unreleased	1997
America Oudan Ultra Quiz	Pegasus Japan	Victor Entertainment	Unreleased	Unreleased	1995
Amok	Lemon	Scavenger	1997	1997	1997
Andretti Racing	High Score Entertainment	Electronic Arts	1996	1997	Unreleased
AnEarth Fantasy Stories: The First Volume	MediaWorks, Inc.	MediaWorks, Inc.	Unreleased	Unreleased	1997
Angel Graffiti S: Anata e no Profile	Astrovision	Coconuts Japan	Unreleased	Unreleased	1997
Angel Paradise Vol. 1: Sakaki Yuko: Koi no Yokan in Hollywood	Scarab	Sammy Entertainment	Unreleased	Unreleased	1996
Angel Paradise Vol. 2: Yoshino Kimika: Isshoni I-ta-i in Hawaii	Scarab	Sammy Entertainment	Unreleased	Unreleased	1996
Angelique Duet	Koei	Koei	Unreleased	Unreleased	1998
Angelique Special	Koei	Koei	Unreleased	Unreleased	1996
Angelique Special 2	Koei	Koei	Unreleased	Unreleased	1997
Another Memories	Starlight Marry	Starlight Marry	Unreleased	Unreleased	1998
Aponashi Girls: Olympos (limited edition, three-part set)	Human Entertainment	Human Entertainment			
Aqua-World: Umi Monogatari	Masudaya Corporation	Masudaya Corporation	Unreleased	Unreleased	1996
AquaZone (five-part series)	9003	9003	Unreleased	Unreleased	1996
Arcade Gears: Pu-Li-Ru-La	Taito Corporation	Xing Entertainment	Unreleased	Unreleased	1997
Arcade Gears: Gun Frontier	Taito Corporation	Xing Entertainment	Unreleased	Unreleased	1997
Arcade Gears: Wonder 3	Capcom	Xing Entertainment	Unreleased	Unreleased	1998
Arcade Gears: Image Fight and XMultiply	Irem	Xing Entertainment	Unreleased	Unreleased	1998
Arcade's Greatest Hits: The Atari Collection 1	Digital Eclipse	Midway Games	1997	Unreleased	Unreleased
Arcana Strikes	Red Company	Takara	Unreleased	Unreleased	1997
Area 51	Mesa Logic|Tantalus Interactive	Midway Games	1996	1997	1997
Arthur to Astaroth no Nazomakaimura: Incredible Toons	Capcom|Dynamix	Capcom	Unreleased	Unreleased	1996
