Title-main	Title-na	Title-eu	Title-jp	Title-alt	regions	genre	subgenre
3 Ninjas Kick Back					NA	Action	Beat 'em up and hack and slash
3rd Super Robot Wars				Dai-3-Ji Super Robot Taisen (JP)	JP	Strategy	Turn-based strategy
3x3 Eyes Juuma Houkan				3x3 Eyes Juuma Houkan	JP	RPG	Action RPG
3x3 Eyes Seima Kourinden				3x3 Eyes Seima Kourinden	JP	RPG	Action RPG
4 Nin Shōgi					JP	Traditional games	Board games
4th Super Robot Wars				Dai-4-Ji Super Robot Taisen (JP)	JP	Strategy	Turn-based strategy
The 7th Saga			Elnard		JP|NA	RPG	Console-style RPG
90 Minutes European Prime Goal			J.League Soccer Prime Goal 3		EU|JP	Sports	Football
A.S.P.: Air Strike Patrol				Desert Fighter (EU/JP)	NA|EU|JP	Flight	
AAAHH!!! Real Monsters	AAAHH!!! Real Monsters	AAAHH!!! Real Monsters				Platform	
ABC Monday Night Football					NA|JP	Sports	American Football
Accele Brid					JP 	Racing	Vehicular combat
Ace o Nerae!					JP	Sports	Tennis
ACME Animation Factory					NA|EU	Traditional games	Educational
Acrobat Mission			Acrobat Mission			Shooter	Scrolling shooter
Action Pachio			Action Pachio			Platform	
ActRaiser					NA|EU|JP	Strategy	Real-time strategy
ActRaiser 2				Actraiser 2: Chinmoku heno Seisen (JP)	NA|EU|JP	Action	Beat 'em up and hack and slash
The Addams Family					NA|PAL|JP	Platform	Platform adventure
The Addams Family: Pugsley's Scavenger Hunt					NA|PAL	Platform	Platform adventure
The Adventures of Batman & Robin					NA|EU	Action	Beat 'em up and hack and slash
The Adventures of Rocky & Bullwinkle and Friends	The Adventures of Rocky & Bullwinkle and Friends					Platform	
Adventures of Yogi Bear				Yogi Bear (JP)	NA|PAL|JP	Platform	Hop and bop
Aero Fighters	Aero Fighters		Sonic Wings			Shooter	Scrolling shooter
Aero the Acro-Bat					NA|PAL	Platform	Hop and bop
Aero the Acro-Bat 2					NA|PAL	Platform	Hop and bop
Aerobiz			Air Management: Ōzora ni Kakeru		NA|JP	Simulation	Business simulation
Aerobiz Supersonic			Air Management II: Kōkū Ō wo Mezase		NA|JP	Simulation	Business simulation
AIII S.V.: A Ressha de Ikou 3 Super Version					JP	Strategy	Real-time strategy
Air Cavalry					NA|EU	Flight	
Akazukin Chacha				Akazukin Chacha	JP	RPG	Action RPG
Al Unser Jr.'s Road to the Top					NA|EU	Racing	Multiple styles
Albert Odyssey					JP	RPG	Console-style RPG
Albert Odyssey 2					JP	RPG	Console-style RPG
Alcahest				Alcahest	JP	RPG	Action RPG
Alfred Chicken	Alfred Chicken	Alfred Chicken				Platform	
Alice no Paint Adventure					JP	Traditional games	Educational
Alien vs Predator				Aliens vs. Predator (JP)	NA|EU|JP	Action	Beat 'em up and hack and slash
Alien³	Alien³	Alien³	Alien³			Platform	Run and gun platformers
The Amazing Spider-Man: Lethal Foes			The Amazing Spider-Man: Lethal Foes			Platform	
America Oudan Ultra Quiz					JP	Traditional games	Trivia & game show
American Battle Dome					JP	Action	Pinball
American Gladiators					NA	Sports	Other
American Tail, An: Fievel Goes West	American Tail, An: Fievel Goes West	American Tail, An: Fievel Goes West	Amerika Monogatari 2: Faiberu Nishi e Iku			Platform	
Ancient Magic: Bazoo! Mahou Sekai					JP	RPG	
Andre Agassi Tennis					NA|JP	Sports	Tennis
Angelique					JP	Adventure	Visual novel
Animaniacs	Animaniacs	Animaniacs	Animaniacs			Platform	
Another World	Out of This World	Another World	Outer World			Platform	Cinematic platformer
Aoki Densetsu Shoot!					JP	Sports	Football
Appleseed			Appleseed			Platform	Run and gun platformers
Arabian Nights: Sabaku no Seirei-ō					JP	RPG	
Araiguma Rascal					JP	Puzzle	Action puzzle
Arcade's Greatest Hits: The Atari Collection 1					NA|EU	Action	Multi-genre action
Arcana				Card Master: Rimsalia no Fuuin (JP)	JP|NA	RPG	Computer-style RPG
Arcus Spirits					JP	Adventure	Action-adventure
Ardy Lightfoot	Ardy Lightfoot	Ardy Lightfoot	Ardy Lightfoot			Platform	
Aretha					JP	RPG	Console-style RPG
Aretha II: Ariel no Fushigi na Tabi					JP	RPG	Console-style RPG
Arkanoid: Doh it Again					NA|EU|JP	Action	Ball and paddle
Armored Police Metal Jack					JP	Action	Beat 'em up and hack and slash
Art of Fighting	Art of Fighting	Art of Fighting	Ryuuko no Ken			Action	Fighting
Art of Fighting 2			Ryuuko no Ken 2			Action	Fighting
Asahi Shinbun Rensai: Katou Ichi-Ni-San Shougi: Shingiryuu						Traditional games	Board games
Asameshimae Nyanko					JP	RPG	
Ashita no Joe					JP	Sports	Boxing
Asterix		Asterix				Platform	
Asterix & Obelix		Asterix & Obelix				Platform	
The Atlas: Renaissance Voyager					JP	Adventure	Graphic adventure
Axelay	Axelay	Axelay	Axelay			Shooter	Scrolling shooter
B.O.B.	B.O.B.	B.O.B.	Space Funky B.O.B.			Platform	Run and gun platformers
Bahamut Lagoon					JP	RPG	Tactical role-playing
Bakukyuu Renpatsu!! Super B-Daman			Bakukyuu Renpatsu!! Super B-Daman		JP	Puzzle	
Bakumatsu Kourinden Oni					JP	RPG	Console-style RPG
Bakuto Dochers			Bakuto Dochers			Action	Maze
Ball Bullet Gun: Survival Game Simulation					JP	Strategy	Wargames
Ballz	Ballz 3D		Ballz 3D			Action	Fighting
Barbarossa					JP	Strategy	Turn-based strategy
Barbie Super Model					NA	Action	Multi-genre action
Barbie: Vacation Adventure					NA	Action	Multi-genre action
Barkley Shut Up and Jam!				Barkley's Power Dunk (JP)	NA|EU|JP	Sports	Basketball
Bart's Nightmare	Bart's Nightmare	Bart's Nightmare	The Simpsons: Bart no Fushigi na Yume no Daibouken			Platform	
Bass Masters Classic					NA|JP	Sports	Fishing
Bass Masters Classic: Pro Edition					NA|EU	Sports	Fishing
Bassin's Black Bass with Hank Parker				Super Black Bass 2 (JP)	NA|EU|JP	Sports	Fishing
Bastard!!			Bastard!!: Ankoku no Hakai-shin			Action	Fighting
Batman Forever					NA|EU|JP	Action	Beat 'em up and hack and slash
Batman Returns					NA|EU|JP	Action	Beat 'em up and hack and slash
Battle Blaze	Battle Blaze		Battle Blaze			Action	Fighting
Battle Cars					NA	Racing	Vehicular combat
Battle Clash	Battle Clash	Battle Clash	Space Bazooka			Shooter	Light gun shooter
Battle Commander: Hachibushuu Shura no Heihou					JP	Strategy	Turn-based strategy
Battle Cross					JP	Racing	Vehicular combat
Battle Dodgeball					JP	Sports	Dodge ball
Battle Dodgeball 2					JP	Sports	Dodge ball
Battle Grand Prix					NA|JP	Racing	Formula One
Battle Jockey					JP	Sports	Horse Racing
Battle Master - Kyuukyoku no Senshitachi			Battle Master - Kyuukyoku no Senshitachi			Action	Fighting
Battle Pinball					JP	Action	Pinball
Battle Racers					JP	Racing	Kart racing
Battle Robot Retsuden					JP	Strategy	
Battle Soccer 2					JP	Sports	Football
