Title	Developer(s)	Publisher(s)	Japan	Europe	North America	Notes
007 Racing	Eutechnyx	Electronic Arts	Unreleased	2000-12-15	2000-11-20	
007: The World is Not Enough	Black Ops Entertainment	Electronic Arts and MGM	Unreleased	2000-11-17	2000-11-06	
007: Tomorrow Never Dies	Black Ops Entertainment	Electronic Arts	2000-02-10	1999-11-25	1999-11-16	
101 Dalmatians II: Patch's London Adventure	Backbone Entertainment	Eidos Interactive	Unreleased	Unreleased	2003-10-14	
102 Dalmatians: Puppies to the Rescue	Crystal Dynamics	Eidos Interactive	Unreleased	2000-12-20	2000-11-15	
16 Tales 1 ! 16 Tales	Lightspan	Lightspan	Unreleased	Unreleased	1996-01-01	
16 Tales 2	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1996-01-01	
16 Tales 3	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1996-01-01	
16 Tales 4	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1996-01-01	
1Xtreme|ESPN Extreme Games	Sony Interactive Studios America	SCEA NA|SCEE PAL|SCEI JP	1996-05-24	1995-12-01	1995-09-09	
2 on 2 Open Ice Challenge	Avalanche Software	Midway	Unreleased	Unreleased	1996-11-30	
2002 FIFA World Cup	EA Canada	EA Sports	Unreleased	2002-04-26	2002-04-30	
2Xtreme	Sony Interactive Studios America	SCEA NA|SCEE PAL	Unreleased	1997-03-06	1996-10-31	
360: Three Sixty	Smart Dog	Cryo Interactive	Unreleased	1997-07-01	Unreleased	
3D Baseball|3D Baseball: The Majors JP	Crystal Dynamics	Crystal Dynamics NA|BMG Interactive JP	1997-02-28	Unreleased	1996-10-31	
3D Shooting Tsukuru	Success	ASCII Entertainment	1996-12-20	Unreleased	Unreleased	
3x3 Eyes: Kyuusei Koushu	Nihon Create	Xing Entertainment	1995-08-11	Unreleased	Unreleased	
3x3 Eyes: Tenrinou Genmu	Nihon Create	King Records	1998-08-06	Unreleased	Unreleased	
3Xtreme	989 Studios	989 Studios	Unreleased	Unreleased	1999-03-31	
40 Winks|40 Winks: Conquer your Dreams PAL	Eurocom	GT Interactive	Unreleased	1999-11-01	1999-11-14	
4-4-2 Soccer	Arc Developments	Virgin Interactive	Unreleased	1997-08-01	Unreleased	
4th Super Robot Wars Scramble	Banpresto|Winky Soft	Banpresto	1996-01-26	Unreleased	Unreleased	
5 Star Racing	Kung Fu Games	Phoenix Games	Unreleased	2003-11-15	Unreleased	
'70's Robot Anime Geppy-X	Aroma	Aroma	1999-05-27	Unreleased	Unreleased	
A-Train|A.IV Evolution Global JP|A-IV Evolution Global PAL	Artdink	Maxis NA|Artdink JP|SCEE PAL	1995-11-22	1996-11-01	1996-01-01	
A.IV Evolution: A-Ressha de Ikou 4	Artdink	Artdink	1994-12-03	Unreleased	Unreleased	
AbalaBurn	Tamsoft	Takara	1998-08-20	Unreleased	Unreleased	
Ace Combat 2	Namco	Namco JP,NA|SCEE PAL	1997-05-30	1997-10-01	1997-07-31	
Ace Combat 3: Electrosphere	Namco	Namco|SCEE PAL	1999-05-27	2000-01-21	2000-03-02	
Aces of the Air|Simple 1500 Series Vol. 95: The Hikouki JP	Highwaystar	D3 Publisher JP|Agetec NA	2002-05-23	Unreleased	2002-09-26	
Acid	ISCO	Taki	1999-07-08	Unreleased	Unreleased	
Aconcagua	SCEI	SCEI	2000-06-01	Unreleased	Unreleased	
Action Bass	Vingt-et-un Systems	Take 2 Interactive|Syscom JP	1999-12-09	2000-09-29	2000-07-14	
Action Man: Destruction X	Blitz Games	The 3DO Company	Unreleased	2000-11-01	Unreleased	
Action Man: Operation Extreme|Action Man: Mission Xtreme PAL	Blitz Games	Hasbro Interactive	Unreleased	2000-06-25	2000-11-08	
Actua Golf|VR Golf '97 NA	Gremlin Interactive	Gremlin Interactive PAL|VR Sports NA|Naxat Soft JP	1997-04-11	1996-10-01	1996-10-31	
Actua Golf 2|Fox Sports Golf '99 NA	Gremlin Interactive	Gremlin Interactive PAL|Fox Interactive NA	Unreleased	1997-09-01	1998-06-30	
Actua Golf 3	Gremlin Interactive	Gremlin Interactive	Unreleased	1999-01-01	Unreleased	
Actua Ice Hockey	Gremlin Interactive	Gremlin Interactive PAL|Konami JP	1998-12-17	1998-02-01	Unreleased	
Actua Ice Hockey 2	Gremlin Interactive	Gremlin Interactive	Unreleased	1999-04-01	Unreleased	
