name	developer	date	handheld	generation	wikipedia_url	image	logo_svg	logo_png
3DO Interactive Multiplayer	Panasonic	1993	0	5	https://en.wikipedia.org/wiki/3DO_Interactive_Multiplayer	https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/3DO-FZ1-Console-Set.jpg/800px-3DO-FZ1-Console-Set.jpg	0	https://upload.wikimedia.org/wikipedia/en/4/4d/3DO_Interactive_Multiplayer_logo.png
Atari 7800	Atari	1986	0	3	https://en.wikipedia.org/wiki/Atari_7800	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Atari-7800-Console-Set.jpg/800px-Atari-7800-Console-Set.jpg	0	https://www.loveroms.com/assets/img/consoles/logos/atari-7800.png
Atari Jaguar	Atari	1993	0	5	https://en.wikipedia.org/wiki/Atari_Jaguar	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Atari-Jaguar-CD-wPro-Controller.jpg/800px-Atari-Jaguar-CD-wPro-Controller.jpg	http://vignette2.wikia.nocookie.net/vsrecommendedgames/images/f/f4/Atari_Jaguar_logo.svg	0
Atari Lynx	Atari	1989	1	4	https://en.wikipedia.org/wiki/Atari_Lynx	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Atari-Lynx-I-Handheld.jpg/800px-Atari-Lynx-I-Handheld.jpg	http://games.stpe.se/images/platform_lynx_logo.svg	0
CD-i	Philips	1991	0	4	https://en.wikipedia.org/wiki/Philips_CD-i	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Philips-CDi-220-wController-FL.jpg/800px-Philips-CDi-220-wController-FL.jpg	https://upload.wikimedia.org/wikipedia/en/a/a0/CDIlogo.svg	0
Dreamcast	Sega	1998	0	6	https://en.wikipedia.org/wiki/Dreamcast	https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Dreamcast-Console-Set.jpg/800px-Dreamcast-Console-Set.jpg	https://upload.wikimedia.org/wikipedia/commons/7/7e/Dreamcast_logo.svg	0
Game Boy|Game Boy Pocket	Nintendo	1989	1	4	https://en.wikipedia.org/wiki/Game_Boy	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Game-Boy-FL.jpg/494px-Game-Boy-FL.jpg	https://upload.wikimedia.org/wikipedia/commons/3/39/Gameboy_logo.svg	0
Game Boy Advance|Game Boy Advance SP	Nintendo	2001	1	6	https://en.wikipedia.org/wiki/Game_Boy_Advance	https://upload.wikimedia.org/wikipedia/commons/7/7d/Nintendo-Game-Boy-Advance-Purple-FL.jpg	https://upload.wikimedia.org/wikipedia/commons/8/8a/Gameboy_advance_logo.svg	0
Game Boy Color	Nintendo	1998	1	5	https://en.wikipedia.org/wiki/Game_Boy_Color	https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Nintendo-Game-Boy-Color-FL.jpg/441px-Nintendo-Game-Boy-Color-FL.jpg	https://upload.wikimedia.org/wikipedia/commons/c/c5/Game_Boy_Color_logo.svg	0
Game Gear	Sega	1990	1	4	https://en.wikipedia.org/wiki/Game_Gear	https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Game-Gear-Handheld.jpg/800px-Game-Gear-Handheld.jpg	0	https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Game_gear_us-jp_logo.svg/2000px-Game_gear_us-jp_logo.svg.png
GameCube	Nintendo	2001	0	6	https://en.wikipedia.org/wiki/GameCube	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/GameCube-Set.jpg/800px-GameCube-Set.jpg	https://upload.wikimedia.org/wikipedia/en/e/e6/Nintendo_Gamecube_Logo.svg	0
Nomad	Sega	1995	1	5	https://en.wikipedia.org/wiki/Genesis_Nomad	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Sega-Nomad-Front.jpg/800px-Sega-Nomad-Front.jpg	https://upload.wikimedia.org/wikipedia/en/2/2b/Sega_Nomad.svg	0
Master System|Master System II|Sega Mark III (JP)	Sega	1985	0	3	https://en.wikipedia.org/wiki/Master_System	https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Sega-Master-System-Set.jpg/800px-Sega-Master-System-Set.jpg	0	https://upload.wikimedia.org/wikipedia/commons/3/3e/Sega-master-system-logo.png
Mega Drive| Genesis (US)	Sega	1988	0	4	https://en.wikipedia.org/wiki/Sega_Genesis	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Sega-Mega-Drive-JP-Mk1-Console-Set.jpg/800px-Sega-Mega-Drive-JP-Mk1-Console-Set.jpg	0	http://i.imgur.com/4xXy7Gb.png
Neo Geo	SNK	1990	0	4	https://en.wikipedia.org/wiki/Neo_Geo_(system)	https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Neo-Geo-AES-Console-Set.jpg/800px-Neo-Geo-AES-Console-Set.jpg	https://upload.wikimedia.org/wikipedia/commons/0/00/Neogeo-logo.svg	0
Neo Geo CD	SNK	1994	0	4	https://en.wikipedia.org/wiki/Neo_Geo_CD	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Neo-Geo-CD-TopLoader-wController-FL.jpg/800px-Neo-Geo-CD-TopLoader-wController-FL.jpg	http://vignette3.wikia.nocookie.net/vsrecommendedgames/images/d/da/Neo_Geo_CD_logo.svg	0
Neo Geo Pocket	SNK	1998	1	5	https://en.wikipedia.org/wiki/Neo_Geo_Pocket	https://upload.wikimedia.org/wikipedia/commons/b/be/Neo-Geo-Pocket-Anthra-Left.jpg	0	https://upload.wikimedia.org/wikipedia/commons/7/71/SNK_NeoGeo_Pocket_logo.png
Neo Geo Pocket Color	SNK	1999	1	6	https://en.wikipedia.org/wiki/Neo_Geo_Pocket_Color	https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Neo-Geo-Pocket-Color-Blue-Left.jpg/800px-Neo-Geo-Pocket-Color-Blue-Left.jpg	http://vignette2.wikia.nocookie.net/vsrecommendedgames/images/5/55/Neo_Geo_Pocket_Color_logo.svg	0
NES|Nintendo Entertainment System|Famicom|Family Computer	Nintendo	1983	0	3	https://en.wikipedia.org/wiki/Nintendo_Entertainment_System	https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/NES-Console-Set.jpg/800px-NES-Console-Set.jpg	0	https://upload.wikimedia.org/wikipedia/commons/0/0d/NES_logo.svg
