Manufacturer	Name	date	generation
NEC	PC Engine	1987	4
Sega	Mega Drive	1988	4
Nintendo	Super NES	1990	4
Philips	CD-i	1991	4
SNK	Neo Geo	1990	4
Nintendo	Game Boy	1989	4
Atari	Atari Lynx	1989	4
Sega	Game Gear	1990	4
NEC	TurboExpress	1990	4
Panasonic	3DO Interactive Multiplayer	1993	5
Atari	Atari Jaguar	1993	5
Sega	Sega Saturn	1994	5
Sony	PlayStation	1994	5
Nintendo	Nintendo 64	1996	5
Sega	Genesis Nomad	1995	5
Nintendo	Virtual Boy	1995	5
Nintendo	Game Boy Color	1998	5
SNK	Neo Geo Pocket	1998	5
Sony	Pocketstation	1999	5
Bandai	WonderSwan	1999	5
Bandai	WonderSwan Color	2000	5
